USDC/BRZ

On Start,Amount,Price,USD
USDC,9674.139,1.000,$9674.14
BRZ,55547.818,0.186,$10339.17
,,,$20013.31

Hodl,,,
USDC,9674.139,1.000,$9674.14
BRZ,55547.818,0.187,$10407.77
,,,$20081.91

Impermanent Loss,,,
Initial Price Ratio,5.37256,,
Future Price Ratio,5.33715,,
Price Change Ratio,0.99341,,

New USDC,10034.2535,1.0000,$10034.25
New BRZ,53554.2867,0.1874,$10034.25
Value in ($),20068.5070,,$20068.51
IL ($),-13.405,,
IL (%),-0.07%,,

Real Pool,,,
USDC,10849.42,1,$10849.42
BRZ,49261.03,0.19,$9229.84
Value,,,$20079.26
Fee,,,$10.75
Refuel used to date,,,-$0.00
Earned,,,$10.75
APR timespan,9.81,,2.00%
APR year,,,2.00%
Fee per year,,,$400.11
Balance in one year,,,$20413.43

Price Token 0,USDC,1.00,
Price Token 1,BRZ,0.19,

Refuel,,,

Total,,,$0.00
