USDC/IDRX

On Start,Amount,Price,USD
USDC,7389.437,1.000,$7389.44
IDRX,0.000,0.000,$0.00
,,,$7389.44

Hodl,,,
USDC,7389.437,1.000,$7389.44
IDRX,0.000,0.000,$0.00
,,,$7389.44

Impermanent Loss,,,
Initial Price Ratio,16754.14337,,
Future Price Ratio,16750.49466,,
Price Change Ratio,0.99978,,

New USDC,0.0001,1.0000,$0.00
New IDRX,1.2526,0.0001,$0.00
Value in ($),0.0001,,$0.00
IL ($),-7389.437,,
IL (%),-100.00%,,

Real Pool,,,
USDC,7477.57,1,$7477.57
IDRX,0.00,0.00,$0.00
Value,,,$7477.57
Fee,,,$7477.57
Refuel used to date,,,-$-1.80
Earned,,,$7479.37
APR timespan,7.00,,5277.74%
APR year,,,5277.74%
Fee per year,,,$389995.53
Balance in one year,,,$397384.97

Price Token 0,USDC,1.00,
Price Token 1,IDRX,0.00,

Refuel,,,

Total added,,,$0.00
Remaining unused,,,$1.80
Used to date,,,$-1.80
