YB crvUSD/tBTC

On Start,Amount,Price,USD
YB crvUSD,37547280.411,1.000,$37547280.41
tBTC,604.433,100591.677,$60800968.99
,,,$98348249.40

Hodl,,,
YB crvUSD,37547280.411,1.000,$37547280.41
tBTC,604.433,95955.590,$57998762.75
,,,$95546043.16

Impermanent Loss,,,
Initial Price Ratio,0.00001,,
Future Price Ratio,0.00001,,
Price Change Ratio,1.04831,,

New YB crvUSD,46665788.4163,1.0000,$46665788.42
New tBTC,486.3269,95955.5897,$46665788.42
Value in ($),93331576.8326,,$93331576.83
IL ($),-2214466.330,,
IL (%),-2.32%,,

Real Pool,,,
YB crvUSD,38164519.63,1,$38164519.63
tBTC,626.74,95955.59,$60139024.14
Value,,,$98303543.76
Fee,,,$4971966.93
Refuel used to date,,,-$53982.33
Earned,,,$4917984.60
APR timespan,7.00,,260.84%
APR year,,,260.84%
Fee per year,,,$256529386.03
Balance in one year,,,$354877635.43

Price Token 0,YB crvUSD,1.00,
Price Token 1,tBTC,95955.59,

Refuel,,,
2025-11-07 14:59:11,1.128525,,$729.28
2025-11-07 16:11:23,0.730289,,$471.94
2025-11-07 19:41:23,2.248412,,$1464.67
2025-11-07 20:01:23,0.197815,,$128.98
2025-11-07 20:05:23,0.052596,,$34.30
2025-11-07 20:13:35,0.088341,,$57.61
2025-11-07 20:17:35,0.033494,,$21.85
2025-11-07 20:37:47,0.006213,,$4.05
2025-11-07 20:41:47,0.074373,,$48.56
2025-11-07 20:45:47,0.032992,,$21.56
2025-11-07 20:49:47,0.026769,,$17.50
2025-11-07 21:53:47,0.646311,,$422.53
2025-11-07 22:09:59,0.183281,,$119.92
2025-11-07 22:17:59,0.098794,,$64.64
2025-11-07 22:45:59,0.277865,,$181.81
2025-11-07 22:53:59,0.059690,,$39.05
2025-11-07 22:57:59,0.051456,,$33.67
2025-11-07 23:01:59,0.053515,,$35.01
2025-11-07 23:09:59,0.063806,,$41.75
2025-11-07 23:17:59,0.086446,,$56.56
2025-11-07 23:21:59,0.045291,,$29.63
2025-11-07 23:50:23,0.302633,,$198.01
2025-11-08 00:06:35,0.172976,,$113.18
2025-11-08 00:14:35,0.090616,,$59.29
2025-11-08 00:22:47,0.067966,,$44.47
2025-11-08 00:26:47,0.043251,,$28.30
2025-11-08 03:00:11,1.573553,,$1029.59
2025-11-08 03:20:35,0.218326,,$142.85
2025-11-08 03:52:47,0.321374,,$210.28
2025-11-08 04:04:47,0.117423,,$76.83
2025-11-08 04:44:59,0.430556,,$281.72
2025-11-08 06:41:47,1.213335,,$793.95
2025-11-08 06:49:47,0.061996,,$40.57
2025-11-08 06:53:47,0.064191,,$42.01
