YB crvUSD/tBTC new

On Start,Amount,Price,USD
YB crvUSD,50547228.771,1.000,$50547228.77
tBTC,444.307,112161.327,$49834047.83
,,,$100381276.60

Hodl,,,
YB crvUSD,50547228.771,1.000,$50547228.77
tBTC,444.307,88734.263,$39425242.28
,,,$89972471.05

Impermanent Loss,,,
Initial Price Ratio,0.00001,,
Future Price Ratio,0.00001,,
Price Change Ratio,1.26401,,

New YB crvUSD,44641200.0394,1.0000,$44641200.04
New tBTC,503.0886,88734.2627,$44641200.04
Value in ($),89282400.0787,,$89282400.08
IL ($),-690070.974,,
IL (%),-0.77%,,

Real Pool,,,
YB crvUSD,30049901.20,1,$30049901.20
tBTC,711.72,88734.26,$63154374.38
Value,,,$93204275.58
Fee,,,$3921875.50
Refuel used to date,,,-$253795.66
Earned,,,$3668079.84
APR timespan,28.13,,47.42%
APR year,,,47.42%
Fee per year,,,$47598118.85
Balance in one year,,,$147979395.46

Price Token 0,YB crvUSD,1.00,
Price Token 1,tBTC,88734.26,

Refuel,,,
2025-10-29 17:03:59,2.502720,,$1709.83
2025-10-29 23:06:23,3.533558,,$2395.06
2025-10-29 23:10:23,0.004279,,$2.90
2025-10-29 23:14:35,0.005084,,$3.44
2025-10-29 23:18:35,0.006091,,$4.12
2025-10-29 23:22:35,0.003345,,$2.26
2025-10-29 23:26:35,0.007135,,$4.81
2025-10-29 23:30:35,0.003499,,$2.36
2025-10-29 23:34:35,0.006188,,$4.17
2025-10-29 23:38:35,0.005513,,$3.71
2025-10-29 23:42:35,0.004848,,$3.26
2025-10-29 23:46:35,0.003542,,$2.38
2025-10-29 23:50:35,0.007122,,$4.79
2025-10-29 23:54:35,0.005011,,$3.37
2025-10-29 23:58:35,0.003226,,$2.17
2025-10-30 00:02:35,0.000842,,$0.57
2025-10-30 00:06:35,0.006140,,$4.13
2025-10-30 00:10:35,0.008002,,$5.38
2025-10-30 00:14:35,0.006681,,$4.49
2025-10-30 00:18:35,0.028002,,$18.85
2025-10-30 03:31:59,1.459482,,$986.16
2025-10-30 09:59:11,1.872136,,$1268.37
2025-10-30 10:23:11,0.024448,,$16.57
2025-10-30 12:03:35,0.102832,,$69.72
2025-10-30 12:19:59,0.160516,,$108.86
2025-10-30 12:23:59,0.036888,,$25.01
2025-10-30 17:34:23,2.994946,,$2006.72
2025-10-30 17:42:23,0.010801,,$7.23
2025-10-30 17:46:23,0.006811,,$4.55
2025-10-30 17:50:23,0.004330,,$2.89
2025-10-30 17:54:23,0.005645,,$3.77
2025-10-30 17:58:35,0.004581,,$3.06
2025-10-30 18:02:35,0.001980,,$1.32
2025-10-30 18:06:35,0.007991,,$5.33
2025-10-30 18:10:35,0.005917,,$3.94
2025-10-30 18:14:35,0.004950,,$3.30
2025-10-30 18:18:35,0.005527,,$3.68
2025-10-30 18:22:35,0.003537,,$2.35
2025-10-30 18:26:35,0.006381,,$4.24
2025-10-30 18:30:35,0.005838,,$3.88
2025-10-30 18:34:35,0.002586,,$1.72
2025-10-30 18:38:47,0.006438,,$4.28
2025-10-30 18:42:47,0.005515,,$3.67
2025-10-30 18:46:47,0.004097,,$2.72
2025-10-30 18:50:47,0.017603,,$11.70
2025-10-30 18:54:47,0.022187,,$14.74
2025-10-30 20:28:11,0.373373,,$248.03
2025-10-30 20:32:11,0.020162,,$13.39
