crvUSD/ZCHF

On Start,Amount,Price,USD
crvUSD,8974.122,1.000,$8974.12
ZCHF,8876.103,1.248,$11073.70
,,,$20047.82

Hodl,,,
crvUSD,8974.122,1.000,$8974.12
ZCHF,8876.103,1.240,$11010.59
,,,$19984.72

Impermanent Loss,,,
Initial Price Ratio,0.80155,,
Future Price Ratio,0.80614,,
Price Change Ratio,1.00573,,

New crvUSD,9940.3431,1.0000,$9940.34
New ZCHF,8013.3283,1.2405,$9940.34
Value in ($),19880.6863,,$19880.69
IL ($),-104.031,,
IL (%),-0.52%,,

Real Pool,,,
crvUSD,8857.85,1,$8857.85
ZCHF,8974.97,1.24,$11133.23
Value,,,$19991.08
Fee,,,$110.40
Refuel used to date,,,-$0.00
Earned,,,$110.40
APR timespan,7.00,,28.72%
APR year,,,28.72%
Fee per year,,,$5758.16
Balance in one year,,,$25805.98

Price Token 0,crvUSD,1.00,
Price Token 1,ZCHF,1.24,

Refuel,,,

Total added,,,$0.00
Remaining unused,,,$0.00
Used to date,,,$0.00
